"term","estimate","std.error","statistic","p.value","gene"
"`1/2-SBSRNA4`",7182297.92013032,4148831.07270845,1.73116181263113,0.0840777660262081,"1/2-SBSRNA4"
"A2LD1",-5993484.77751679,1616427.55380531,-3.70785858197434,0.000233900813678373,"A2LD1"
"A2ML1",7057652.96208886,1449578.9243905,4.86876074378382,1.53537805234559e-06,"A2ML1"
"A2MP1",12684726.146167,13849035.1013293,0.915928514395159,0.360173093385423,"A2MP1"
"A4GNT",3840614.62581363,2486674.88953694,1.54447798623519,0.123144174434665,"A4GNT"
"AA06",23859399.7059944,165803217.321853,0.143901910296946,0.885639475094073,"AA06"
"AAA1",5505720.06942477,5509276.98440535,0.999354377173149,0.318136186362155,"AAA1"
"AADAC",852586.835898548,1564156.13830176,0.545077831439656,0.585957994160692,"AADAC"
"AADACL3",5278290.15016553,8025027.04708852,0.657728643055538,0.511033825112531,"AADACL3"
"AAMP",-16700657.165208,8525766.12452649,-1.95884533088052,0.0507205337729814,"AAMP"
"AARS",14414234.9543324,12047606.3400057,1.19643973645354,0.232126911699351,"AARS"
"AASS",7805443.26645652,3126302.4111471,2.49670129115646,0.0128760164025071,"AASS"
"AATF",-3642925.48710386,11653820.5147501,-0.312594953946051,0.754726765013163,"AATF"
"`AATK-AS1`",11193426.940497,8611353.66707728,1.29984522448445,0.194289797969774,"AATK-AS1"
"ABAT",813189.892621347,3134904.53915639,0.259398614045255,0.79544103693545,"ABAT"
"ABCA10",1059271.70633369,2708430.79771901,0.391101632438159,0.695898969074075,"ABCA10"
"ABCA11P",-6883470.40478944,5496763.72847307,-1.25227692962921,0.21109042987141,"ABCA11P"
"ABCA12",-482423.514573984,1691116.19105125,-0.285269289671986,0.775563239136901,"ABCA12"
"ABCA13",47500.7008799597,1768652.62196448,0.0268569985366598,0.978585166490736,"ABCA13"
"ABCA17P",2623732.81712521,2702112.29513015,0.970993256591816,0.332050005827213,"ABCA17P"
"ABCA3",5812685.77751288,2283573.19314254,2.54543440734376,0.0112318832244341,"ABCA3"
"ABCB4",-1072975.24537502,2688243.31977821,-0.399136208199913,0.689973750719925,"ABCB4"
"ABCB5",2549559.71815885,1877754.97240482,1.35777018600763,0.175186736348116,"ABCB5"
"ABCB6",4270208.53443578,4567844.87484001,0.934840970181883,0.3503492877878,"ABCB6"
"ABCC1",880659.923237255,5647488.66444871,0.155938325079086,0.876148446841396,"ABCC1"
"ABCC11",-1594993.23505235,2854259.72844664,-0.558811526209771,0.57655593083093,"ABCC11"
"ABCC12",4921813.97419637,3868672.75592732,1.27222287453895,0.203921674322631,"ABCC12"
"ABCC2",-700459.382645161,1895266.43290926,-0.369583595468393,0.711858882525379,"ABCC2"
"ABCC3",-1939606.20999525,2342799.79572522,-0.827900964279726,0.408145873489221,"ABCC3"
"ABCD1",-1240672.33406829,5001994.94667943,-0.248035503292923,0.804215036257728,"ABCD1"
"ABCD4",-2171470.94927678,6944896.9458772,-0.312671442960123,0.754668682969878,"ABCD4"
"ABCF3",6760027.80639514,6996852.84164366,0.966152634533203,0.334463621456714,"ABCF3"
"ABCG2",3246767.53689487,2130361.24820071,1.52404552966642,0.12816846965904,"ABCG2"
"ABCG4",5729861.48055758,2776098.36318306,2.06399800401444,0.0395650215712982,"ABCG4"
"ABHD10",-12825064.1442846,5227860.88480711,-2.45321450338436,0.0145199745952159,"ABHD10"
"`ABHD11-AS1`",-2519413.4320926,2452573.88970927,-1.02725281495648,0.304828690916238,"ABHD11-AS1"
"ABHD12B",1147038.35838896,1901689.32911169,0.603168109969234,0.546687190978816,"ABHD12B"
"ABHD15",-573112.587586486,5094064.08728124,-0.112505963365758,0.910470174414795,"ABHD15"
"ABHD4",2886397.94142294,1666201.29721896,1.73232246682355,0.083870804760907,"ABHD4"
"ABI1",-1227164.53199531,3557096.90754226,-0.344990469445268,0.730255539684622,"ABI1"
"ABL1",12164807.6855754,7028517.91717992,1.73077849824367,0.0841462074958554,"ABL1"
"ABLIM1",474366.578170029,3433320.02162779,0.138165558462891,0.890168622871457,"ABLIM1"
"ABR",-10231118.0324682,6037035.26039467,-1.69472557160439,0.0907884841581377,"ABR"
"ABRA",1965511.26011094,2650958.45448062,0.741434199690627,0.458799729830136,"ABRA"
"ABTB2",-1897445.29909539,3425301.74056763,-0.553949824806076,0.579876075126632,"ABTB2"
"ACAA2",-4134783.30997302,4968978.14065439,-0.832119440442636,0.405763221856733,"ACAA2"
"ACACB",1568622.7771456,3663088.71090298,0.428224075621395,0.66868373830203,"ACACB"
"ACAD10",481636.053648312,8135485.83541143,0.0592018796900719,0.952816421945461,"ACAD10"
"ACADM",-1886668.9285314,8303607.80012875,-0.227210746695207,0.820358458333174,"ACADM"
"ACAN",-956501.680969045,2014839.93822602,-0.474728370637324,0.63520062921762,"ACAN"
"ACBD4",-1423796.48557392,5147802.77418966,-0.276583340121853,0.78222138751829,"ACBD4"
"ACCN3",2366767.02093332,2712853.34065954,0.872427191496435,0.383419894867467,"ACCN3"
"ACCN5",5342214.9803217,3024118.22317801,1.76653642022885,0.0779535560357808,"ACCN5"
"ACCSL",1630952.99710862,2940264.85702259,0.554695946255734,0.579365951393466,"ACCSL"
"ACE",1096732.70011352,3938721.10618351,0.2784489357197,0.780789960473963,"ACE"
"ACE2",-3349229.81198182,1298461.05878955,-2.57938410190294,0.0101997792462943,"ACE2"
"ACER2",-2167668.43939604,2646722.26662256,-0.819001096840493,0.413199984127333,"ACER2"
"ACMSD",2925952.83761039,1715075.8594394,1.70601948683878,0.0886636841228707,"ACMSD"
"ACO1",-4341043.72908346,6789486.61795288,-0.639377315746495,0.522888338928944,"ACO1"
"ACOT1",-1710182.67065285,3376755.71317924,-0.506457326474086,0.61277262544206,"ACOT1"
"ACOT11",-6009549.17249599,2902502.87652567,-2.07047139250022,0.038952534442222,"ACOT11"
"ACOX2",-3592231.81068579,2743801.86535265,-1.30921691396405,0.19109921586401,"ACOX2"
"ACOXL",264680.067858256,1758972.97432019,0.150474209508847,0.880454915423674,"ACOXL"
"ACP2",1865805.37925655,5514638.55029292,0.338336839711361,0.735260127529685,"ACP2"
"ACPP",-3505803.02400719,2621733.32379588,-1.33720809518922,0.181800147303169,"ACPP"
"ACPT",3975596.14059571,3192782.9148402,1.24518210183253,0.213683953802277,"ACPT"
"ACR",-3621163.9977978,2452226.34539646,-1.47668424026019,0.1404285660063,"ACR"
"ACRBP",-2679166.56693141,4130162.62948182,-0.648683068266382,0.516859392860769,"ACRBP"
"ACSBG1",6025927.91986132,1931954.12184945,3.11908437768321,0.00192535213593391,"ACSBG1"
"ACSL4",-1906184.69681669,5940968.44269595,-0.320854203351346,0.748463192910203,"ACSL4"
"ACSL6",-2777902.45540685,1805670.71077199,-1.53843247211957,0.124614413457184,"ACSL6"
"ACSM2A",2559401.49280933,1803032.92655793,1.41949792214574,0.156415379816717,"ACSM2A"
"ACSM2B",2374850.22279433,1710076.28771414,1.38873934447029,0.165568359179979,"ACSM2B"
"ACSM4",3239073.07939197,2590899.74767268,1.25017306528418,0.211857107138915,"ACSM4"
"ACTA1",-639619.671666246,1501802.20680734,-0.425901406168529,0.670374243829731,"ACTA1"
"ACTB",-544236.015494432,546191.607298675,-0.996419586500212,0.319557944707302,"ACTB"
"ACTBL2",-832854.724702617,2365354.23045455,-0.352105707457849,0.724916473912599,"ACTBL2"
"ACTC1",188480.508115184,1619743.17755387,0.116364440194665,0.907413314454786,"ACTC1"
"ACTG1",577543.606667775,1089402.62610727,0.530147066683227,0.596259799105488,"ACTG1"
"ACTL6B",1122325.62356214,1948004.71999934,0.576141121240467,0.564794992675375,"ACTL6B"
"ACTL7B",3343705.05846375,4903889.6310866,0.681847535325312,0.495670507595163,"ACTL7B"
"ACTL9",-660548.693547429,4986795.30816522,-0.132459556233613,0.894677378351649,"ACTL9"
"ACTN3",2057652.39308172,2313131.54562788,0.889552691878226,0.374160226127493,"ACTN3"
"ACTN4",-7930919.42713617,8610889.8258666,-0.921033666382789,0.357504352692424,"ACTN4"
"ACTR10",-979172.070444294,8210389.95976353,-0.119260117393071,0.905120128672065,"ACTR10"
"ACTR3BP2",4661730.56171058,5691836.81666421,0.819020416759359,0.41318897249492,"ACTR3BP2"
"ACTR3BP5",4334957.91171331,3839969.576192,1.1289042336664,0.259512885979682,"ACTR3BP5"
"ACTRT1",1286302.32189967,4551425.72446085,0.282615250642597,0.777595942264204,"ACTRT1"
"ACTRT2",1494941.69560627,12828210.1508203,0.116535485311696,0.907277836269882,"ACTRT2"
"ACVR1B",-4940486.9556763,5210478.4967269,-0.948182966071118,0.343522544583982,"ACVR1B"
"ACVR2A",-4593452.13924304,6360734.40888337,-0.722157512633738,0.47055602072771,"ACVR2A"
"ACVRL1",-2707208.80445199,3807221.27303118,-0.711072094398286,0.477391540991382,"ACVRL1"
"ADA",-980039.638853293,3914828.27671857,-0.250340390326078,0.802433282499877,"ADA"
"ADAD1",4894026.3635325,4637607.03366738,1.05529130174325,0.291833121854009,"ADAD1"
"ADAD2",7007828.64204339,3037435.73220202,2.30715289470931,0.0214791559463669,"ADAD2"
"ADAL",2018934.05147048,3647638.62823365,0.553490698295445,0.580190085205663,"ADAL"
"ADAM1",5813.71709936891,3668498.4506329,0.00158476749482228,0.998736209992866,"ADAM1"
"ADAM10",-9379692.11177791,9672293.00666995,-0.969748549316045,0.332669556857168,"ADAM10"
"ADAM11",5065987.85084863,2486443.69253893,2.03744322304588,0.0421640577883861,"ADAM11"
"ADAM2",-1989515.13392787,2034598.47780597,-0.977841650640219,0.328654617267658,"ADAM2"
"ADAM21P1",3346808.40519793,2214058.21072742,1.51161716931478,0.131301903744369,"ADAM21P1"
"ADAM29",5408389.94656242,2702379.04216183,2.00134394997226,0.0459285262115766,"ADAM29"
"ADAM30",2454589.00013896,3421400.1220816,0.717422374628775,0.473469162603514,"ADAM30"
"ADAM32",-3322214.17618457,2691615.90955717,-1.23428241168747,0.217713158631127,"ADAM32"
"ADAM3A",7982368.4947008,6930136.20624115,1.15183428682282,0.249973498177641,"ADAM3A"
"ADAM5P",10881901.771187,19766598.7491107,0.550519687747321,0.582223976357161,"ADAM5P"
"ADAM6",4030372.884545,4886772.10328318,0.824751553655875,0.409930141801044,"ADAM6"
"ADAM7",4915979.58389942,4985010.8820643,0.986152227187055,0.324564727459678,"ADAM7"
"ADAM8",-545615.891215805,2680989.28113369,-0.203512895428319,0.838822062292451,"ADAM8"
"ADAMDEC1",-1883412.08398254,2011037.4553932,-0.936537546295624,0.349476435883717,"ADAMDEC1"
"ADAMTS15",-361779.069974456,2616407.45844613,-0.138273214596825,0.890083589168942,"ADAMTS15"
