"microbe","PreNorm.sig","PreNorm.dir","Norm.sig","Norm.dir","consistentEffect"
"d__Archaea","TRUE","enrichedFFPE","FALSE","enrichedFF",FALSE
"d__Bacteria","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"d__Eukaryota","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"d__Viruses","TRUE","enrichedFFPE","TRUE","enrichedFFPE",TRUE
"k__Fungi","TRUE","enrichedFFPE","FALSE","enrichedFF",FALSE
"k__Heunggongvirae","TRUE","enrichedFFPE","TRUE","enrichedFFPE",TRUE
"k__Metazoa","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"k__Pararnavirae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"k__unclassified-c__Candidatus","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"k__unclassified-c__Cryptophyceae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"k__unclassified-p__Acidobacteria","FALSE","enrichedFF","FALSE","enrichedFFPE",FALSE
"k__unclassified-p__Actinobacteria","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"k__unclassified-p__Apicomplexa","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"k__unclassified-p__Armatimonadetes","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"k__unclassified-p__Bacteroidetes","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"k__unclassified-p__Candidatus","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"k__unclassified-p__Cercozoa","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"k__unclassified-p__Chlamydiae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"k__unclassified-p__Chloroflexi","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"k__unclassified-p__Crenarchaeota","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"k__unclassified-p__Cyanobacteria","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"k__unclassified-p__Deinococcus","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"k__unclassified-p__Euglenozoa","TRUE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"k__unclassified-p__Euryarchaeota","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"k__unclassified-p__Firmicutes","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"k__unclassified-p__Fornicata","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"k__unclassified-p__Fusobacteria","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"k__unclassified-p__Gemmatimonadetes","TRUE","enrichedFFPE","FALSE","enrichedFF",FALSE
"k__unclassified-p__Ignavibacteriae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"k__unclassified-p__Kiritimatiellaeota","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"k__unclassified-p__Nitrospirae","FALSE","enrichedFF","FALSE","enrichedFFPE",FALSE
"k__unclassified-p__Planctomycetes","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"k__unclassified-p__Proteobacteria","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"k__unclassified-p__Spirochaetes","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"k__unclassified-p__Synergistetes","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"k__unclassified-p__Tenericutes","FALSE","enrichedFFPE","FALSE","enrichedFFPE",FALSE
"k__unclassified-p__Thaumarchaeota","TRUE","enrichedFFPE","TRUE","enrichedFFPE",TRUE
"k__unclassified-p__Verrucomicrobia","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"p__Acidobacteria","FALSE","enrichedFF","FALSE","enrichedFFPE",FALSE
"p__Actinobacteria","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"p__Apicomplexa","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"p__Armatimonadetes","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"p__Artverviricota","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"p__Ascomycota","TRUE","enrichedFFPE","FALSE","enrichedFF",FALSE
"p__Bacteroidetes","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"p__Basidiomycota","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"p__Candidatus","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
"p__Cercozoa","FALSE","enrichedFFPE","FALSE","enrichedFF",FALSE
"p__Chlamydiae","FALSE","enrichedFF","FALSE","enrichedFF",FALSE
