"node","betweencent"
"A1BG",0
"k__unclassified-p__Ignavibacteriae",525.668903318903
"p__Ignavibacteriae",525.668903318903
"c__Ignavibacteria",525.668903318903
"c__Thermoleophilia",8581.89685551391
"o__Glycomycetales",131.5375
"o__Ignavibacteriales",525.668903318903
"o__Miltoncostaeales",8581.89685551391
"f__Glycomycetaceae",131.5375
"f__Melioribacteraceae",525.668903318903
"f__Miltoncostaeaceae",8581.89685551391
"f__unclassified-g__Nordella",870.219246031736
"g__Aurantimicrobium",16
"g__Aureliella",1633.97083333333
"g__Brevefilum",105225.254939508
"g__Clavibacter",2354.0119047619
"g__Frigoriglobus",0
"g__Kineobactrum",13.8333333333333
"g__Melioribacter",525.668903318903
"g__Miltoncostaea",8581.89685551391
"g__Natronoglycomyces",131.5375
"g__Nordella",870.219246031736
"g__Obesumbacterium",15190.9231060607
"g__Sulfuricurvum",427.613095238095
"g__Turneriella",104587.376769066
"g__Urechidicola",1422.50833333333
"s__[Eubacterium] cellulosolvens",22
"s__Anaerolinea thermophila",72.25
"s__Arachidicoccus ginsenosidivorans",93.25
"s__Aurantimicrobium sp. MWH-Mo1",88581.6887445889
"s__Aureliella helgolandensis",1633.97083333333
"s__Bifidobacterium breve",7728.96666666667
"s__Borrelia anserina",0
"s__Brevefilum fermentans",105225.254939508
"s__Burkholderia metallica",50.5
"s__Burkholderia sp. DHOD12",289446.482292706
"s__Candida dubliniensis",1
"s__Candidatus Planktophila dulcis",417.333333333333
"s__Candidatus Planktophila lacus",380840.297456714
"s__Candidatus Planktophila sulfonica",646675.970711068
"s__Clavibacter zhangzhiyongii",2354.0119047619
"s__Clostridium sp. DL-VIII",0
"s__Corynebacterium imitans",197.75
"s__Frigoriglobus tundricola",0
"s__Fusobacterium gonidiaformans",206882.24238678
"s__Gemella morbillorum",766758.197041844
"s__Kineobactrum salinum",13.8333333333333
"s__Meiothermus ruber",95.5
"s__Melioribacter roseus",525.668903318903
"s__Miltoncostaea marina",8581.89685551391
"s__Moraxella cuniculi",15
"s__Mycobacterium leprae",0
"s__Mycobacterium riyadhense",55400.2437229436
"s__Mycobacterium simiae",31.5
"s__Natronoglycomyces albus",131.5375
"s__Nordella sp. HKS 07",870.219246031736
"s__Obesumbacterium proteus",15190.9231060607
"s__Pandoraea oxalativorans",47521.0060425684
"s__Plasmodium gaboni",5040.1
"s__Polynucleobacter asymbioticus",182745.619782014
"s__Polynucleobacter necessarius",88998.5217893218
"s__Porphyromonas crevioricanis",146085.883766234
"s__Pseudomonas alcaligenes",359.75
"s__Pseudomonas amygdali",350069.06611028
"s__Pseudomonas qingdaonensis",78724.711111111
"s__Pseudomonas sp. B11D7D",8
"s__Pseudomonas sp. BJP69",1660650.15875932
"s__Pseudomonas sp. CCOS 191",34349.3325396825
"s__Pseudomonas sp. J380",466097.671662369
"s__Pseudomonas sp. SDM007",481889.247113305
"s__Pseudomonas sp. SWI36",3607.125
"s__Pseudomonas thivervalensis",2.75
