"node","closeness"
"s__Burkholderia sp. MS455",17630589.4755717
"s__Pseudomonas sp. PONIH3",17514480.7876776
"s__Pseudomonas sp. 14181154",17200175.1281839
"OPN1MW",17023244.6654481
"s__Burkholderia stabilis",16962008.4554362
"ZIM3",16863516.4573792
"s__Bacillus sp. M4U3P1",16821787.8264492
"s__Stenotrophomonas sp. ASS1",16629253.9958354
"s__Sphingomonas taxi",16596385.4039049
"LINC00466",16517329.2814818
"LINC00330",16413374.051233
"ADAT2",16328533.8114541
"s__Acinetobacter wanghuae",16166075.6607395
"PATE2",16135882.3547203
"BOLA3-AS1",16131261.4100408
"s__Pseudomonas sp. COW39",16128598.3600432
"HNRNPKP3",16110750.9299594
"s__Pseudomonas mosselii",16087406.4544634
"TIMP2",16078094.3534266
"s__Enterobacter hormaechei",16057240.9651616
"CAMK1",16052851.8176694
"s__Micromonospora krabiensis",16049688.6493209
"s__Candidatus Saccharimonas aalborgensis",16045243.806139
"MAGEA9B",16044514.890944
"s__Microbacterium sp. WY121",16033531.4189817
"s__Candidatus Planktophila sulfonica",16026215.7935375
"s__Microbacterium sediminis",16010601.4622447
"s__Rhodoferax sediminis",15986168.7642748
"g__Neochlamydia",15980098.0578669
"s__Neochlamydia sp. S13",15980098.0578669
"ZNF575",15968593.1837527
"LOC100506178",15916723.6100208
"PRAMEF20",15900340.926263
"MAGEA10-MAGEA5",15893633.7454006
"LOC100129620",15890860.8113523
"RAD21-AS1",15869509.9340381
"s__Hydrogenophaga sp. PBL-H3",15867139.6898155
"C7orf65",15854433.8873706
"ITPK1-AS1",15853347.7023859
"PLD1",15804621.5805041
"SSX4B",15796560.4140159
"s__Clostridium bornimense",15796055.2925579
"o__Acidaminococcales",15791848.419861
"f__Acidaminococcaceae",15791848.419861
"g__Acidaminococcus",15791848.419861
"s__Acidaminococcus intestini",15791848.419861
"HRH4",15791094.4787662
"GEN1",15789257.194296
"PCA3",15788353.0693504
"s__Acinetobacter lanii",15779208.8444937
"s__Streptococcus oralis",15772940.9513104
"s__Stenotrophomonas rhizophila",15765610.7226942
"C2orf83",15755993.5221604
"LINC00477",15753897.2165479
"LINC00319",15752268.8575387
"SNORA37",15749194.4874298
"SSR4P1",15747760.2806687
"LINC00472",15741914.9660022
"FLJ30679",15741091.6522202
"g__Aminobacterium",15730039.6326706
"s__Aminobacterium colombiense",15730039.6326706
"GUCY2F",15726832.3664575
"LINC00327",15726463.1681734
"g__Limnohabitans",15680272.4625581
"s__Limnohabitans sp. 103DPR2",15680272.4625581
"s__Enterobacter kobei",15680160.3976865
"s__Burkholderia pseudomallei",15674700.8160819
"CLEC19A",15648387.8948198
"LOC100144595",15638858.7029347
"SMAD5-AS1",15635468.418525
"SEC14L5",15628688.7297233
"ARGFX",15613392.4200449
"SLC25A31",15608093.0264547
"PADI6",15600607.2348753
"s__Synechococcus sp. CBW1004",15598207.9175936
"s__Stenotrophomonas sp. ESTM1D_MKCIP4_1",15597607.6065752
"g__Debaryomyces",15584504.911268
"s__Debaryomyces hansenii",15584504.911268
"TSC2",15572238.6930999
"ABCC5",15568019.1570995
"PAWR",15557919.6104605
"FAM98C",15552309.1882986
"MTBP",15546221.8308516
"CYP26C1",15545852.3537253
"ACAD11",15545573.9484752
"s__Hydrogenophaga sp. YM1",15535032.1156845
"LATS2",15530074.6050507
"g__Iamia",15522159.73266
"s__Iamia sp. SCSIO 61187",15522159.73266
"LOC349160",15502939.122867
"FLJ13224",15500038.5797785
"CXXC1P1",15489375.4337606
"ZNF782",15489135.547443
"PPP1R18",15488797.008788
"LINC00511",15485725.6452973
"TMEM202",15484359.526607
"DBN1",15482191.9858491
"PRDM14",15479316.0975774
"s__Corynebacterium sp. FDAARGOS 1242",15474073.3110461
"s__Streptococcus sp. HKU75",15473815.559998
"VCY",15472841.5023079
"IFNW1",15471461.6905825
"LOC100507557",15469201.9926236
"s__Pseudomonas sp. TKP",15468645.2066585
"ZBTB20-AS1",15468212.6309877
"TCAM1P",15466281.8917022
"ANKRD34C",15464869.7046829
"s__Streptomyces paludis",15462463.3815337
"UCMA",15456580.1028873
"APLF",15447615.0943353
"DYTN",15445792.4531731
"CFL1P1",15440387.7228748
"LOC100507334",15439211.8578749
"CDC14C",15438795.4081193
"HOTAIR",15424603.1669074
"g__Terricaulis",15418354.9302747
"s__Terricaulis silvestris",15418354.9302747
"DDAH2",15417827.2452392
"CSRNP1",15417415.9372361
"VSX2",15415462.1761103
"MBD1",15413921.6964507
"LRRIQ3",15411341.5982472
"RNF215",15403732.8923894
"SH2D4B",15399165.0701137
"DPPA4",15391732.2914534
"OXTR",15379360.7333439
"s__Streptomyces hawaiiensis",15376748.709252
"LOC100507053",15374946.4352748
"INF2",15368759.7112048
"PPP3R2",15366468.4838281
"WRAP53",15364537.5953907
"FGF14-IT1",15360389.494417
"g__Longicatena",15359353.0103239
"s__Longicatena caecimuris",15359353.0103239
"ADAMTS9-AS2",15359235.5968664
"s__Pseudomonas agarici",15356074.5311505
"OPN5",15351584.0674576
"CDC7",15340679.8863562
"s__Pseudomonas sp. 7SR1",15337194.349007
"LOC100134368",15328951.9477966
"ZSWIM2",15328069.0322149
"LINC00221",15325706.7613995
"KCNJ14",15323647.784922
"RBPJL",15322554.0053095
"s__Candidatus Endolissoclinum faulkneri",15321545.1298102
"PHOX2A",15320383.9311383
"s__Hyphomicrobium denitrificans",15319590.0152945
"s__Leifsonia shinshuensis",15317118.0384412
"CENPO",15316778.8354769
"CYB5D2",15314116.9512609
"FUT9",15311248.2520946
"WNT9B",15310229.5611682
"PRR23C",15309791.6826902
"CPLX4",15305479.204689
"FLJ12825",15305307.6775808
"TCEA2",15301650.3361639
"LOC441204",15300596.7663113
"DTNB",15294239.0841555
"LOC574538",15290933.8874665
"ATAD5",15286359.3768666
"DNAJC25-GNG10",15281338.8537411
"SLC12A4",15276764.0615617
"HHLA1",15274728.5147612
"ZNF792",15273926.0813837
"s__Staphylococcus epidermidis",15271159.5065315
"COL4A2",15268663.5213501
"ZPBP2",15266561.2253353
"LRIT1",15264957.9196877
"SHCBP1L",15264010.5774967
"OR4X2",15263230.7121888
"TRIM60",15259680.0152097
"PRDM12",15256976.6482084
