"Gene","n","rank"
"SNORA68",7080,1
"ZNF92",7059,2
"SNORD10",7045,3
"ZNF107",7029,4
"ZNF675",7029,5
"ZNF678",7027,6
"SNORD16",7021,7
"FLJ33630",7017,8
"ZNF680",7005,9
"ZNF138",6991,10
"ADPRHL2",6961,11
"RAB4B-EGLN2",6961,12
"MRPL34",6955,13
"ZNF273",6953,14
"LINC00467",6951,15
"NDUFS7",6951,16
"ZNF714",6950,17
"C9orf7",6944,18
"ZNF431",6943,19
"ZNF430",6942,20
"LOC100190986",6935,21
"TRAPPC2L",6934,22
"LOC150381",6931,23
"HCG18",6927,24
"LOC389641",6924,25
"ANP32A-IT1",6919,26
"LOC100188947",6919,27
"LOC100506123",6919,28
"ZNF761",6911,29
"COMMD4",6908,30
"ZNF525",6905,31
"ARHGEF26-AS1",6898,32
"LOC100289019",6897,33
"LOC286437",6892,34
"MRPL54",6890,35
"ZNF720",6887,36
"BREA2",6883,37
"LOC202781",6883,38
"AP3S2",6881,39
"DHRS7B",6880,40
"SYNJ2BP-COX16",6880,41
"TMEM205",6873,42
"LOC550643",6872,43
"SNORD67",6872,44
"BCYRN1",6871,45
"CYCSP52",6867,46
"PLAC2",6866,47
"LOC284412",6865,48
"JOSD2",6864,49
"FLJ42102",6860,50
"ARPC4",6858,51
"F8A2",6855,52
"TCTA",6854,53
"LOC100129917",6853,54
"LOC100508120",6851,55
"CHST14",6850,56
"LOC100506746",6849,57
"IFI35",6847,58
"LOC100129361",6844,59
"LOC100506394",6841,60
"PUS3",6838,61
"TMEM212",6838,62
"LOC285740",6836,63
"SCARNA8",6835,64
"LOC100506599",6834,65
"INGX",6829,66
"ZNF681",6828,67
"LOC100861402",6822,68
"LOC338758",6817,69
"PLSCR3",6817,70
"ACOT1",6815,71
"PLA2G15",6815,72
"ACADS",6810,73
"RNU12",6809,74
"ZNF721",6809,75
"DKFZP686I15217",6806,76
"MIAT",6805,77
"ZNF195",6805,78
"LOC613037",6791,79
"LOC100506054",6787,80
"LOC100506548",6787,81
"LOC284950",6786,82
"CHURC1-FNTB",6785,83
"LOC100132287",6779,84
"LOC439949",6779,85
"RPL23AP64",6776,86
"NRL",6774,87
"LOC100507117",6773,88
"ZNF254",6773,89
"ZNF117",6772,90
"MDP1",6768,91
"MAB21L3",6762,92
"RHOXF2B",6757,93
"ENDOV",6756,94
"PAN3-AS1",6754,95
"LOC100132774",6742,96
"XKR8",6742,97
"TSSC4",6734,98
"ZMYM6NB",6733,99
"FCGRT",6732,100
"C1orf122",6730,101
"RNF215",6730,102
"LOC100129716",6728,103
"LOC219731",6728,104
"HNRNPF",6722,105
"LOC147804",6719,106
"AGSK1",6702,107
"LOC100506233",6697,108
"ERVK13-1",6695,109
"CORO7-PAM16",6691,110
"NBPF1",6684,111
"ALOX12P2",6679,112
"HEMK1",6678,113
"LOC286186",6677,114
"RRN3P3",6672,115
"LINC00485",6660,116
"SNORA7A",6660,117
"ZNF487P",6660,118
"INO80B",6659,119
"NFKBIL1",6657,120
"LOC441454",6654,121
"LOC92249",6646,122
"LINC00263",6645,123
"NBPF15",6645,124
"MGC16142",6639,125
"LOC100499177",6638,126
"IAPP",6636,127
"LOC100859930",6634,128
"LOC653566",6634,129
"ZNF579",6632,130
"LOC100505854",6627,131
"LOC145820",6627,132
"SCAF4",6621,133
"MRPL42P5",6618,134
"SNORD116-1",6618,135
"MGMT",6605,136
"LINC00102",6591,137
"DANCR",6590,138
"PLAC4",6587,139
"ZNF440",6577,140
"ZNF573",6577,141
"B3GNT1",6573,142
"PPCDC",6567,143
"ZNF587B",6560,144
"TMEM42",6555,145
"SNHG6",6553,146
"MIR3648",6548,147
"F8A3",6545,148
"OCEL1",6537,149
"INS-IGF2",6532,150
"UBE2Q2P2",6528,151
"ZNF787",6526,152
"LOC440028",6516,153
"ZNF816",6512,154
"ZNF30",6510,155
"BNIP1",6502,156
"EVI5L",6500,157
"LOC286367",6491,158
"LOC653513",6473,159
"ZNF724P",6473,160
"SMCR7",6462,161
"SNHG1",6462,162
"ZNF77",6462,163
"ZNF860",6461,164
"LOC100505676",6459,165
"LOC100505702",6451,166
"MGC12916",6439,167
"HNF1A-AS1",6437,168
"LOC100272217",6436,169
"ABHD14A-ACY1",6432,170
"SIX5",6425,171
"DUXA",6424,172
"HAS2-AS1",6422,173
"LINC00330",6421,174
"NRON",6398,175
"ZNF91",6396,176
"SNORA11B",6389,177
"DGCR11",6379,178
"CYP4F35P",6375,179
"DECR2",6370,180
"CCDC115",6369,181
"SNORD116-24",6367,182
"SNORA9",6362,183
"ZNF736",6360,184
"LOC730101",6348,185
"MAFG-AS1",6346,186
"LOC285972",6345,187
"LOC729683",6344,188
"LOC100505783",6343,189
"CYB5D2",6341,190
"FKRP",6338,191
"LOC100507066",6336,192
"LOC100506963",6330,193
"ZNF552",6328,194
"LOC100287015",6326,195
"ASAP1-IT1",6306,196
