"gene","n","rank"
"OR10R2",520,1
"OR10Z1",495,2
"KRTAP2-4",492,3
"DEFB112",489,4
"RBMY2FP",481,5
"KRTAP13-1",474,6
"OR5D18",473,7
"OR5F1",473,8
"OR5M1",472,9
"OR4A15",471,10
"IQCF2",467,11
"OR5L1",466,12
"MYF5",462,13
"OR1S1",461,14
"TMEM202",460,15
"KRTAP9-9",455,16
"OR5D16",454,17
"TEX13A",454,18
"OR9G4",453,19
"C10orf120",447,20
"OR5B3",441,21
"ZNRF4",441,22
"DEFB104B",439,23
"OR5M3",438,24
"OR52B4",437,25
"OR51L1",436,26
"OR4A5",434,27
"OR4C15",434,28
"OR4S1",432,29
"OR6K6",432,30
"KRTAP4-5",430,31
"SPANXN5",430,32
"LINC00305",429,33
"NPS",429,34
"LGALS16",428,35
"OR4K17",428,36
"OR4N4",427,37
"NEUROG1",425,38
"OR4N5",425,39
"OR6N2",424,40
"OPN1MW",423,41
"GALP",422,42
"OR5I1",422,43
"OR6C75",422,44
"OR10T2",421,45
"OR6S1",420,46
"ANKRD63",419,47
"OR4X2",418,48
"LACRT",417,49
"OR6C74",417,50
"OTOR",416,51
"DRD3",415,52
"USP29",415,53
"CRYGA",414,54
"DUSP21",414,55
"KRTAP4-2",413,56
"MOS",412,57
"CLRN2",411,58
"OR4P4",410,59
"OR8H1",410,60
"BSPH1",409,61
"OR6C65",408,62
"BANF2",407,63
"OR11G2",407,64
"OR4D11",407,65
"OR10G8",406,66
"OR1A2",406,67
"OR51G1",406,68
"OR5AR1",406,69
"PAGE3",406,70
"SPANXN2",406,71
"LINC00477",405,72
"OR52A5",405,73
"LCN9",404,74
"FTMT",403,75
"GPR119",403,76
"KRTAP19-4",403,77
"OR6Y1",403,78
"OR5M8",402,79
"OR5T1",402,80
"TPD52L3",401,81
"DEFB115",400,82
"KRTAP6-3",400,83
"OR6N1",400,84
"OR7G1",399,85
"PRG3",397,86
"SPEM1",397,87
"OR2Z1",396,88
"PSKH2",396,89
"UCMA",396,90
"IFNA7",394,91
"KRTAP2-2",394,92
"NOX3",394,93
"OR4B1",394,94
"OR5L2",394,95
"AMELY",393,96
"OR11A1",393,97
"OR2W1",393,98
"OR6K2",393,99
"OR8I2",392,100
"TARM1",392,101
"IFNA10",391,102
"OR5B17",391,103
"RESP18",391,104
"OR4M1",390,105
"ADAM3A",389,106
"OR12D3",389,107
"OR2Y1",389,108
"KRTAP8-1",388,109
"OR5A1",388,110
"OR5H15",388,111
"OR6K3",388,112
"PRM2",388,113
"ZP4",388,114
"OR4K5",387,115
"MAGEB16",386,116
"PRM1",386,117
"KRTAP19-6",385,118
"LOC149373",385,119
"CRYGC",384,120
"HTR3D",384,121
"OR10G7",384,122
"LINC00221",383,123
"OR8H2",382,124
"TTTY10",382,125
"OR51A7",381,126
"OR52M1",381,127
"OR4C3",380,128
"LCE3C",379,129
"OR4C45",379,130
"OR9K2",378,131
"OR6Q1",377,132
"VN1R4",377,133
"LYZL2",376,134
"OR52J3",376,135
"ADIG",375,136
"DYTN",375,137
"SLC7A13",375,138
"TGM7",375,139
"KIF2B",374,140
"LCE4A",374,141
"OR5T3",374,142
"DEFB128",373,143
"GRXCR1",372,144
"HBZ",372,145
"KRTAP4-12",372,146
"OR6C4",372,147
"SPATA19",372,148
"OR4C12",371,149
"PIN1P1",371,150
