"estimate","statistic","p.value","method","alternative","im.cell","microbe","cancer"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","B.cells.naive","Acetobacter","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","B.cells.memory","Acetobacter","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","T.cells.CD8","Acetobacter","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","T.cells.CD4.naive","Acetobacter","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","T.cells.CD4.memory.resting","Acetobacter","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","T.cells.CD4.memory.activated","Acetobacter","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","T.cells.follicular.helper","Acetobacter","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","T.cells.regulatory..Tregs.","Acetobacter","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","T.cells.gamma.delta","Acetobacter","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","NK.cells.resting","Acetobacter","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","NK.cells.activated","Acetobacter","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","Macrophages.M0","Acetobacter","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","Macrophages.M1","Acetobacter","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","Macrophages.M2","Acetobacter","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","Dendritic.cells.resting","Acetobacter","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","Dendritic.cells.activated","Acetobacter","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","Mast.cells.resting","Acetobacter","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","Mast.cells.activated","Acetobacter","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","Eosinophils","Acetobacter","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","Neutrophils","Acetobacter","THO"
NA,NA,NA,"Spearman's rank correlation rho","two.sided","TILs","Acetobacter","THO"
-0.20986095569669,1661987.2047015,0.00272089674592237,"Spearman's rank correlation rho","two.sided","B.cells.naive","Achromobacter","THO"
-0.0372695824512699,1424898.26268289,0.598474115757052,"Spearman's rank correlation rho","two.sided","B.cells.memory","Achromobacter","THO"
-0.085717638675267,1491451.40596585,0.225148974265692,"Spearman's rank correlation rho","two.sided","T.cells.CD8","Achromobacter","THO"
-0.00921230626383228,1386355.95432693,0.896470144437525,"Spearman's rank correlation rho","two.sided","T.cells.CD4.naive","Achromobacter","THO"
-0.0612289216546511,1457811.23090592,0.386688406066445,"Spearman's rank correlation rho","two.sided","T.cells.CD4.memory.resting","Achromobacter","THO"
-0.0436853520510161,1433711.61179783,0.537018916599006,"Spearman's rank correlation rho","two.sided","T.cells.CD4.memory.activated","Achromobacter","THO"
0.0398523950519001,1318955.72506481,0.573354735313396,"Spearman's rank correlation rho","two.sided","T.cells.follicular.helper","Achromobacter","THO"
-0.0402464447490448,1428987.58139821,0.569566428823203,"Spearman's rank correlation rho","two.sided","T.cells.regulatory..Tregs.","Achromobacter","THO"
-0.0866452661757473,1492725.68879089,0.220151391226202,"Spearman's rank correlation rho","two.sided","T.cells.gamma.delta","Achromobacter","THO"
0.116903127708293,1213111.05656399,0.0975436194751546,"Spearman's rank correlation rho","two.sided","NK.cells.resting","Achromobacter","THO"
-0.143285244654517,1570532.08386715,0.0419176104503298,"Spearman's rank correlation rho","two.sided","NK.cells.activated","Achromobacter","THO"
-0.0367003862810805,1424116.35733471,0.604075823547805,"Spearman's rank correlation rho","two.sided","Macrophages.M0","Achromobacter","THO"
-0.155744595384752,1587647.50642463,0.026874666093379,"Spearman's rank correlation rho","two.sided","Macrophages.M1","Achromobacter","THO"
-0.0611655773757916,1457724.2148067,0.387180781091861,"Spearman's rank correlation rho","two.sided","Macrophages.M2","Achromobacter","THO"
-0.0578349948926652,1453148.99031905,0.413600922543858,"Spearman's rank correlation rho","two.sided","Dendritic.cells.resting","Achromobacter","THO"
0.0901409148788279,1249874.33509004,0.202029271425968,"Spearman's rank correlation rho","two.sided","Dendritic.cells.activated","Achromobacter","THO"
-0.00118608031487821,1375330.31971463,0.98663385616716,"Spearman's rank correlation rho","two.sided","Mast.cells.resting","Achromobacter","THO"
-0.0424863566826032,1432064.55066125,0.548260731581799,"Spearman's rank correlation rho","two.sided","Mast.cells.activated","Achromobacter","THO"
0.117811544493414,1211863.16351785,0.0949498843946947,"Spearman's rank correlation rho","two.sided","Eosinophils","Achromobacter","THO"
0.0913589551195777,1248201.11199328,0.195975551672754,"Spearman's rank correlation rho","two.sided","Neutrophils","Achromobacter","THO"
-0.0837791238880567,1488788.46626415,0.235851076608728,"Spearman's rank correlation rho","two.sided","TILs","Achromobacter","THO"
-0.053746999809502,1447533.30738531,0.447435620337761,"Spearman's rank correlation rho","two.sided","B.cells.naive","Acidaminococcus","THO"
0.0816940904015084,1261477.74632136,0.24775532691473,"Spearman's rank correlation rho","two.sided","B.cells.memory","Acidaminococcus","THO"
0.105032569617342,1229417.65408409,0.136843971699419,"Spearman's rank correlation rho","two.sided","T.cells.CD8","Acidaminococcus","THO"
0.0502694160669954,1304645.85287935,0.477407658214239,"Spearman's rank correlation rho","two.sided","T.cells.CD4.naive","Acidaminococcus","THO"
-0.090166078156448,1497562.23172959,0.20190285547619,"Spearman's rank correlation rho","two.sided","T.cells.CD4.memory.resting","Acidaminococcus","THO"
0.0754946571326394,1269993.91400224,0.2855896883186,"Spearman's rank correlation rho","two.sided","T.cells.CD4.memory.activated","Acidaminococcus","THO"
0.043210208292362,1314343.09365857,0.541460089138448,"Spearman's rank correlation rho","two.sided","T.cells.follicular.helper","Acidaminococcus","THO"
-0.0427275543347586,1432395.88411721,0.545990015491803,"Spearman's rank correlation rho","two.sided","T.cells.regulatory..Tregs.","Acidaminococcus","THO"
-0.0203915863088501,1401712.94250405,0.773308243140835,"Spearman's rank correlation rho","two.sided","T.cells.gamma.delta","Acidaminococcus","THO"
0.0365478361597471,1323495.20091952,0.605581097270414,"Spearman's rank correlation rho","two.sided","NK.cells.resting","Acidaminococcus","THO"
