"Var1","Taxa.Level","Taxa","r","pval","fdr"
"TILs","TILs",NA,1,NA,NA
"DDX58","DDX58",NA,1,NA,NA
"MB21D1","MB21D1",NA,1,NA,NA
"DDX58","TILs",NA,0.462003632828268,0,0
"MB21D1","DDX58",NA,0.30950893884088,4.08206801694178e-12,1.55164278817266e-11
"TILs","genus","Ipomoea",0.3040515583835,1.00448538375986e-11,3.71799232412048e-11
"TILs","family","Peptoniphilaceae",0.275998136692949,7.70337349464967e-10,2.47122671286395e-09
"TILs","phylum","Firmicutes",0.253609933202835,1.75872658658704e-08,5.06742869590087e-08
"TILs","order","Frankiales",0.246288147648171,4.59635223215571e-08,1.27732480885007e-07
"DDX58","family","Peptoniphilaceae",0.234911922115635,1.92671182341897e-07,5.07381793161461e-07
"TILs","genus","Cnuibacter",0.233355878736815,2.33094639812137e-07,6.0933606432693e-07
"TILs","species","Lachancea thermotolerans",0.204617031903064,6.20891000213675e-06,1.43289790921168e-05
"DDX58","genus","Simplicispira",0.202732045835816,7.58320733051931e-06,1.73656828279012e-05
"TILs","species","Vigna radiata",0.201649855251108,8.49851432893622e-06,1.93723684080859e-05
"DDX58","species","Klebsiella sp. LY",0.199316403850122,1.084309515198e-05,2.44748612036853e-05
"DDX58","species","Neurospora crassa",0.197246647812442,1.34269735516668e-05,3.00733274808567e-05
"TILs","genus","Marinobacter",0.193102073642411,2.04626609929814e-05,4.50272867497418e-05
"DDX58","genus","Klebsiella",0.19256758585973,2.15913582550797e-05,4.73968773669378e-05
"DDX58","species","Kluyveromyces marxianus",0.192246682957559,2.22971422039198e-05,4.88803676081345e-05
"DDX58","genus","Kluyveromyces",0.192011272049881,2.28287575354535e-05,4.99968656768198e-05
"MB21D1","species","Bacillus megaterium",0.184924635765689,4.57893309793178e-05,9.7560725545514e-05
"DDX58","species","Tetrapisispora blattae",0.180671819115141,6.86817158044306e-05,0.000143873333438776
"TILs","family","Sordariaceae",0.179786098565969,7.46470043218039e-05,0.000155820786153355
"TILs","genus","Moorella",0.179784782183211,7.46562230200531e-05,0.00015583771563694
"MB21D1","order","Eurotiales",0.179134132526617,7.93464983268599e-05,0.000165192839757363
"DDX58","genus","Actinosynnema",0.176375662838451,0.000102491246339653,0.00021106294308746
"MB21D1","phylum","Firmicutes",0.175503799929687,0.00011103900070264,0.000227902727088993
"TILs","genus","Nakaseomyces",0.175187225555198,0.000114305324133479,0.000234286896516456
"DDX58","species","Plasmodium cynomolgi",0.174249251248085,0.000124521418676471,0.000254344758391959
"TILs","genus","Hirschia",0.17335975967959,0.000134996825790434,0.000274712812516456
"TILs","species","Mycobacterium haemophilum",0.173067797724145,0.000138611882811723,0.000281667696777412
"TILs","genus","Ottowia",0.17167653940423,0.000157121884397649,0.000317606615861682
"TILs","species","Nocardia cyriacigeorgica",0.171021367230597,0.000166619873341212,0.000335897875442617
"DDX58","family","Alteromonadaceae",0.170974921528382,0.000167313234525679,0.000337236418535588
"TILs","species","Ottowia sp. oral taxon 894",0.170918534895436,0.000168158634548776,0.000338840814580567
