"phylum","kingdom"
"Proteobacteria",NA
"Firmicutes",NA
"Actinobacteria",NA
"Streptophyta","Viridiplantae"
"Ascomycota","Fungi"
"Apicomplexa",NA
"Chlorophyta","Viridiplantae"
"Cercozoa",NA
"Chloroflexi",NA
"Cyanobacteria",NA
"Bacteroidetes",NA
"Basidiomycota","Fungi"
"Rhodophyta",NA
"Evosea",NA
NA,NA
"Microsporidia","Fungi"
"Cryptophyta",NA
"Euglenozoa",NA
"Tenericutes",NA
"Bacillariophyta",NA
"Fusobacteria",NA
"Planctomycetes",NA
"Crenarchaeota",NA
"Balneolaeota",NA
"Deinococcus",NA
"Gemmatimonadetes",NA
"Euryarchaeota",NA
