"taxon","prevalence"
"Abalone.shriveling.syndrome.associated.virus",0
"Abelson.murine.leukemia.virus",0.986631016042781
"Acaryochloris.marina",0.0347593582887701
"Acetoanaerobium.sticklandii",0.165775401069519
"Acetobacter.aceti",0.0374331550802139
"Acetobacter.ascendens",0.018716577540107
"Acetobacter.ghanensis",0.0160427807486631
"Acetobacter.orientalis",0.00802139037433155
"Acetobacter.oryzifermentans",0
"Acetobacter.pasteurianus",0.687165775401069
"Acetobacter.persici",0.983957219251337
"Acetobacter.pomorum",0.00267379679144385
"Acetobacter.senegalensis",0.00802139037433155
"Acetobacter.sp..B6",0
"Acetobacter.sp..KACC.21233",0.0347593582887701
"Acetobacter.tropicalis",0.00267379679144385
"Acetobacteraceae.bacterium",0.0267379679144385
"Acetohalobium.arabaticum",0.053475935828877
"Acetomicrobium.mobile",0.0294117647058824
"Acholeplasma.axanthum",0.144385026737968
"Acholeplasma.brassicae",0.160427807486631
"Acholeplasma.laidlawii",0.018716577540107
"Acholeplasma.oculi",0.0133689839572193
"Acholeplasma.palmae",0.133689839572193
"Achromobacter.denitrificans",0.128342245989305
"Achromobacter.insolitus",0.0909090909090909
"Achromobacter.phage.JWF",0
"Achromobacter.ruhlandii",0.0106951871657754
"Achromobacter.sp..AONIH1",0.0935828877005348
"Achromobacter.sp..B7",0.0775401069518717
"Achromobacter.sp..MFA1.R4",0.0320855614973262
"Achromobacter.spanius",0.13903743315508
"Achromobacter.virus.JWX",0.00267379679144385
"Achromobacter.xylosoxidans",0.548128342245989
"Acidaminococcus.fermentans",0.0454545454545455
"Acidaminococcus.intestini",0.481283422459893
"Acidianus.ambivalens",0.0160427807486631
"Acidianus.brierleyi",0.0401069518716578
"Acidianus.hospitalis",0
"Acidianus.manzaensis",0.0828877005347594
"Acidianus.sulfidivorans",0.106951871657754
"Acidibrevibacterium.fodinaquatile",0.0668449197860963
"Acidiferrobacter.sp..SPIII_3",0.0267379679144385
"Acidihalobacter.ferrooxidans",0.0240641711229947
"Acidihalobacter.prosperus",0.0588235294117647
"Acidilobus.saccharovorans",0.0053475935828877
"Acidilobus.sp..7A",0.0133689839572193
"Acidimicrobium.ferrooxidans",0.0427807486631016
"Acidipropionibacterium.acidipropionici",0.0508021390374332
"Acidipropionibacterium.jensenii",0.13903743315508
"Acidipropionibacterium.virtanenii",0.0347593582887701
"Acidisarcina.polymorpha",0.0802139037433155
"Acidithiobacillus.caldus",0.25668449197861
"Acidithiobacillus.ferrivorans",0.0401069518716578
"Acidithiobacillus.ferrooxidans",0.251336898395722
