Taxon,Prevalence,Ref,Reference
c__Acidimicrobiia,0.170391061,Ours,ExoTIC TCGA CRC (this study)
c__Acidithiobacillia,0.5,Ours,ExoTIC TCGA CRC (this study)
c__Acidobacteriia,0.636871508,Ours,ExoTIC TCGA CRC (this study)
c__Aconoidasida,1,Ours,ExoTIC TCGA CRC (this study)
c__Actinobacteria,1,Ours,ExoTIC TCGA CRC (this study)
c__Alphaproteobacteria,1,Ours,ExoTIC TCGA CRC (this study)
c__Anaerolineae,0.11452514,Ours,ExoTIC TCGA CRC (this study)
c__Aquificae,0.879888268,Ours,ExoTIC TCGA CRC (this study)
c__Archaeoglobi,0.148044693,Ours,ExoTIC TCGA CRC (this study)
c__Ardenticatenia,0.061452514,Ours,ExoTIC TCGA CRC (this study)
c__Bacillariophyceae,1,Ours,ExoTIC TCGA CRC (this study)
c__Bacilli,1,Ours,ExoTIC TCGA CRC (this study)
c__Bacteroidia,1,Ours,ExoTIC TCGA CRC (this study)
c__Bangiophyceae,0.815642458,Ours,ExoTIC TCGA CRC (this study)
c__Betaproteobacteria,1,Ours,ExoTIC TCGA CRC (this study)
c__Blastocatellia,0.815642458,Ours,ExoTIC TCGA CRC (this study)
c__Bryopsida,1,Ours,ExoTIC TCGA CRC (this study)
c__Caldilineae,0.041899441,Ours,ExoTIC TCGA CRC (this study)
c__Caldisericia,0.022346369,Ours,ExoTIC TCGA CRC (this study)
c__Candidatus,0.100558659,Ours,ExoTIC TCGA CRC (this study)
c__Chitinophagia,0.536312849,Ours,ExoTIC TCGA CRC (this study)
c__Chlamydiia,0.966480447,Ours,ExoTIC TCGA CRC (this study)
c__Chlorarachniophyceae,0.837988827,Ours,ExoTIC TCGA CRC (this study)
c__Chlorobia,0.905027933,Ours,ExoTIC TCGA CRC (this study)
c__Chloroflexia,0.100558659,Ours,ExoTIC TCGA CRC (this study)
c__Chrysiogenetes,0.033519553,Ours,ExoTIC TCGA CRC (this study)
c__Chthonomonadetes,0.06424581,Ours,ExoTIC TCGA CRC (this study)
c__Clostridia,1,Ours,ExoTIC TCGA CRC (this study)
c__Conoidasida,1,Ours,ExoTIC TCGA CRC (this study)
c__Coprothermobacteria,0.01396648,Ours,ExoTIC TCGA CRC (this study)
c__Coriobacteriia,0.723463687,Ours,ExoTIC TCGA CRC (this study)
