"microbe","Taxonomy","domain","kingdom","phylum","class","order","family","genus","species"
"Abalone.shriveling.syndrome.associated.virus","d__Viruses|o__Caudovirales|s__Abalone shriveling syndrome-associated virus","d__Viruses","k__unclassified-o__Caudovirales","p__unclassified-o__Caudovirales","c__unclassified-o__Caudovirales","o__Caudovirales","f__unclassified-s__Abalone shriveling syndrome-associated virus","g__unclassified-s__Abalone shriveling syndrome-associated virus","s__Abalone shriveling syndrome-associated virus"
"Abelson.murine.leukemia.virus","d__Viruses|o__Ortervirales|f__Retroviridae|g__Gammaretrovirus|s__Abelson murine leukemia virus","d__Viruses","k__unclassified-o__Ortervirales","p__unclassified-o__Ortervirales","c__unclassified-o__Ortervirales","o__Ortervirales","f__Retroviridae","g__Gammaretrovirus","s__Abelson murine leukemia virus"
"Acaryochloris.marina","d__Bacteria|p__Cyanobacteria|o__Synechococcales|f__Acaryochloridaceae|g__Acaryochloris|s__Acaryochloris marina","d__Bacteria","k__unclassified-p__Cyanobacteria","p__Cyanobacteria","c__unclassified-o__Synechococcales","o__Synechococcales","f__Acaryochloridaceae","g__Acaryochloris","s__Acaryochloris marina"
"Acetoanaerobium.sticklandii","d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Acetoanaerobium|s__Acetoanaerobium sticklandii","d__Bacteria","k__unclassified-p__Firmicutes","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Peptostreptococcaceae","g__Acetoanaerobium","s__Acetoanaerobium sticklandii"
"Acetobacter.aceti","d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter aceti","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Acetobacteraceae","g__Acetobacter","s__Acetobacter aceti"
"Acetobacter.ascendens","d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter ascendens","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Acetobacteraceae","g__Acetobacter","s__Acetobacter ascendens"
"Acetobacter.ghanensis","d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter ghanensis","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Acetobacteraceae","g__Acetobacter","s__Acetobacter ghanensis"
"Acetobacter.orientalis","d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter orientalis","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Acetobacteraceae","g__Acetobacter","s__Acetobacter orientalis"
"Acetobacter.oryzifermentans","d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter oryzifermentans","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Acetobacteraceae","g__Acetobacter","s__Acetobacter oryzifermentans"
"Acetobacter.pasteurianus","d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter pasteurianus","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Acetobacteraceae","g__Acetobacter","s__Acetobacter pasteurianus"
"Acetobacter.persici","d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter persici","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Acetobacteraceae","g__Acetobacter","s__Acetobacter persici"
