"estimate","statistic","p.value","method","alternative","score","microbe","datset"
0.0189086227782053,17303728.3845293,0.681671011536646,"Spearman's rank correlation rho","two.sided","age","d__Archaea","ORIEN"
-0.0134171205928602,17873864.7613313,0.771017586501272,"Spearman's rank correlation rho","two.sided","buffa.score","d__Archaea","ORIEN"
-0.0665710992115167,18811353.3887197,0.148289736637693,"Spearman's rank correlation rho","two.sided","MitoScore","d__Archaea","ORIEN"
-0.0200204854508808,17990329.7864859,0.664064617594601,"Spearman's rank correlation rho","two.sided","age","d__Bacteria","ORIEN"
-0.0249156638922292,18076667.145176,0.588831553428262,"Spearman's rank correlation rho","two.sided","buffa.score","d__Bacteria","ORIEN"
0.0195701475801585,17292060.9234157,0.671174165203816,"Spearman's rank correlation rho","two.sided","MitoScore","d__Bacteria","ORIEN"
-0.0010410370037575,17655585.0028276,0.981984373257215,"Spearman's rank correlation rho","two.sided","age","d__Eukaryota","ORIEN"
0.0742027451552548,16328493.5622819,0.107015121442491,"Spearman's rank correlation rho","two.sided","buffa.score","d__Eukaryota","ORIEN"
0.141304366059227,15145007.2436354,0.00206649277348217,"Spearman's rank correlation rho","two.sided","MitoScore","d__Eukaryota","ORIEN"
0.0609034183831496,16563056.7676107,0.186073312426445,"Spearman's rank correlation rho","two.sided","age","d__Viruses","ORIEN"
-0.0626885966024722,18742876.8205234,0.173476241901485,"Spearman's rank correlation rho","two.sided","buffa.score","d__Viruses","ORIEN"
-0.164276512128182,20534605.6423435,0.000333572339939009,"Spearman's rank correlation rho","two.sided","MitoScore","d__Viruses","ORIEN"
0.00916486631861292,17475581.1998086,0.842419621189755,"Spearman's rank correlation rho","two.sided","age","s__Plasmid pWW100","ORIEN"
0.110837638520872,15682355.7417764,0.0158820023918372,"Spearman's rank correlation rho","two.sided","buffa.score","s__Plasmid pWW100","ORIEN"
0.254554733793506,13147585.1398236,1.97361941309369e-08,"Spearman's rank correlation rho","two.sided","MitoScore","s__Plasmid pWW100","ORIEN"
0.00916486631861292,17475581.1998086,0.842419621189755,"Spearman's rank correlation rho","two.sided","age","k__Bamfordvirae","ORIEN"
0.110837638520872,15682355.7417764,0.0158820023918372,"Spearman's rank correlation rho","two.sided","buffa.score","k__Bamfordvirae","ORIEN"
0.254554733793506,13147585.1398236,1.97361941309369e-08,"Spearman's rank correlation rho","two.sided","MitoScore","k__Bamfordvirae","ORIEN"
0.0485948009184448,16780146.610966,0.291565343267263,"Spearman's rank correlation rho","two.sided","age","k__Fungi","ORIEN"
-0.0592247834662867,18681784.7723464,0.198521704849248,"Spearman's rank correlation rho","two.sided","buffa.score","k__Fungi","ORIEN"
-0.18066441650679,20823642.7827596,7.77096200106283e-05,"Spearman's rank correlation rho","two.sided","MitoScore","k__Fungi","ORIEN"
0.0598539499121753,16581566.4781142,0.19378667444224,"Spearman's rank correlation rho","two.sided","age","k__Heunggongvirae","ORIEN"
-0.0630073246339836,18748498.2982103,0.171295611984091,"Spearman's rank correlation rho","two.sided","buffa.score","k__Heunggongvirae","ORIEN"
-0.162920691441057,20510692.7291808,0.000374096983314289,"Spearman's rank correlation rho","two.sided","MitoScore","k__Heunggongvirae","ORIEN"
0.00916486631861292,17475581.1998086,0.842419621189755,"Spearman's rank correlation rho","two.sided","age","k__Loebvirae","ORIEN"
0.110837638520872,15682355.7417764,0.0158820023918372,"Spearman's rank correlation rho","two.sided","buffa.score","k__Loebvirae","ORIEN"
