"estimate","statistic","p.value","method","alternative","score","microbe","datset"
0.032926895194082,6391034391.32654,0.0545316686338823,"Spearman's rank correlation rho","two.sided","age","d__Archaea","TCGA"
0.0573200238823589,6401282781.97688,0.000768385389948208,"Spearman's rank correlation rho","two.sided","buffa.score","d__Archaea","TCGA"
0.00422261328009264,6761841560,0.80443635730704,"Spearman's rank correlation rho","two.sided","MitoScore","d__Archaea","TCGA"
-0.0160412491181959,6714647045.65841,0.349042137224817,"Spearman's rank correlation rho","two.sided","age","d__Bacteria","TCGA"
0.000253754100889063,6788792158.90055,0.988128061756456,"Spearman's rank correlation rho","two.sided","buffa.score","d__Bacteria","TCGA"
0.116269701700752,6000984094,7.85763500883860e-12,"Spearman's rank correlation rho","two.sided","MitoScore","d__Bacteria","TCGA"
-0.0119683071291291,6687730453.52422,0.484764201510342,"Spearman's rank correlation rho","two.sided","age","d__Eukaryota","TCGA"
-0.0074013026312585,6840773938.60947,0.664281984350038,"Spearman's rank correlation rho","two.sided","buffa.score","d__Eukaryota","TCGA"
0.084854867155236,6214307008,6.20344852441153e-07,"Spearman's rank correlation rho","two.sided","MitoScore","d__Eukaryota","TCGA"
0.0096843123741358,6544636167.0427,0.57185386397467,"Spearman's rank correlation rho","two.sided","age","d__Viruses","TCGA"
0.0138704105585231,6696328045.16248,0.415998897991197,"Spearman's rank correlation rho","two.sided","buffa.score","d__Viruses","TCGA"
-0.121887335477728,7618193094,7.27948134491466e-13,"Spearman's rank correlation rho","two.sided","MitoScore","d__Viruses","TCGA"
-0.070171899943372,7072376827.74972,4.10913122335183e-05,"Spearman's rank correlation rho","two.sided","age","s__Plasmid pWW100","TCGA"
-0.0105802629957016,6862360717.53873,0.534974401807029,"Spearman's rank correlation rho","two.sided","buffa.score","s__Plasmid pWW100","TCGA"
-0.0978835700374125,7455195158,8.73687673776692e-09,"Spearman's rank correlation rho","two.sided","MitoScore","s__Plasmid pWW100","TCGA"
-0.0420834230679955,6886750300.84249,0.0139846329896123,"Spearman's rank correlation rho","two.sided","age","k__Bamfordvirae","TCGA"
-0.0663302715969825,7240932002.80586,9.86815236029941e-05,"Spearman's rank correlation rho","two.sided","buffa.score","k__Bamfordvirae","TCGA"
0.08048778059741,6243961776,2.27444544991096e-06,"Spearman's rank correlation rho","two.sided","MitoScore","k__Bamfordvirae","TCGA"
-0.0923429842122295,7218897459.28326,6.59183108444635e-08,"Spearman's rank correlation rho","two.sided","age","k__Fungi","TCGA"
-0.197556859058371,8132028150.10468,1.27496808416857e-31,"Spearman's rank correlation rho","two.sided","buffa.score","k__Fungi","TCGA"
-0.0398716010252465,7061263996,0.0193380278859876,"Spearman's rank correlation rho","two.sided","MitoScore","k__Fungi","TCGA"
0.00916621313878531,6548060096.4383,0.592595995435616,"Spearman's rank correlation rho","two.sided","age","k__Heunggongvirae","TCGA"
0.0137654394588304,6697040853.0189,0.419536255532965,"Spearman's rank correlation rho","two.sided","buffa.score","k__Heunggongvirae","TCGA"
-0.121362079903898,7614626338,9.13596641539868e-13,"Spearman's rank correlation rho","two.sided","MitoScore","k__Heunggongvirae","TCGA"
-0.0149212559801648,6707245418.38987,0.383722027550229,"Spearman's rank correlation rho","two.sided","age","k__Loebvirae","TCGA"
-0.00432823913709496,6819906253.99594,0.799647282851099,"Spearman's rank correlation rho","two.sided","buffa.score","k__Loebvirae","TCGA"
0.0840386687120451,6219849416,7.94739297639521e-07,"Spearman's rank correlation rho","two.sided","MitoScore","k__Loebvirae","TCGA"
-0.0118297561828822,6686814820.7163,0.4898345902563,"Spearman's rank correlation rho","two.sided","age","k__Metazoa","TCGA"
-0.0043718375692192,6820202309.81546,0.797672713320463,"Spearman's rank correlation rho","two.sided","buffa.score","k__Metazoa","TCGA"
0.085488558388164,6210003918,5.11000549916883e-07,"Spearman's rank correlation rho","two.sided","MitoScore","k__Metazoa","TCGA"
-0.0401006906193154,6873647143.27835,0.0191924651832404,"Spearman's rank correlation rho","two.sided","age","k__Orthornavirae","TCGA"
-0.0215179677239148,6936633368.62379,0.206973153560756,"Spearman's rank correlation rho","two.sided","buffa.score","k__Orthornavirae","TCGA"
-0.28250881779917,8708895724,3.69483112161028e-64,"Spearman's rank correlation rho","two.sided","MitoScore","k__Orthornavirae","TCGA"
-0.00127244240682692,6617045374.03488,0.940789720566849,"Spearman's rank correlation rho","two.sided","age","k__Pararnavirae","TCGA"
0.0506980911785877,6446249117.18497,0.00293194522125202,"Spearman's rank correlation rho","two.sided","buffa.score","k__Pararnavirae","TCGA"
-0.0445467086851176,7093010386,0.00896307024602276,"Spearman's rank correlation rho","two.sided","MitoScore","k__Pararnavirae","TCGA"
-0.0191682026245187,6735311943.99926,0.263130093482598,"Spearman's rank correlation rho","two.sided","age","k__Sangervirae","TCGA"
0.018388124910548,6665650436.82438,0.280878769409655,"Spearman's rank correlation rho","two.sided","buffa.score","k__Sangervirae","TCGA"
-0.21343410216139,8239842812,9.64272678753324e-37,"Spearman's rank correlation rho","two.sided","MitoScore","k__Sangervirae","TCGA"
0.10571179859291,5910025439.18052,6.08766440757849e-10,"Spearman's rank correlation rho","two.sided","age","k__Shotokuvirae","TCGA"
0.0747803180571376,6282718387.58975,1.12741496623494e-05,"Spearman's rank correlation rho","two.sided","buffa.score","k__Shotokuvirae","TCGA"
0.0765312481558837,6270828670,6.98034244535687e-06,"Spearman's rank correlation rho","two.sided","MitoScore","k__Shotokuvirae","TCGA"
-0.0386724439360953,6864208380.45226,0.0239268320686792,"Spearman's rank correlation rho","two.sided","age","k__unclassified-c__Candidatus","TCGA"
-0.101075177593708,7476867817.87878,2.81321780404613e-09,"Spearman's rank correlation rho","two.sided","buffa.score","k__unclassified-c__Candidatus","TCGA"
0.0615800625957799,6372354924,0.000301036114138891,"Spearman's rank correlation rho","two.sided","MitoScore","k__unclassified-c__Candidatus","TCGA"
0.0404272610892726,6341467201.27081,0.0182327207724209,"Spearman's rank correlation rho","two.sided","age","k__unclassified-c__Cryptophyceae","TCGA"
0.0880271307858704,6192765703.34399,2.31799373997725e-07,"Spearman's rank correlation rho","two.sided","buffa.score","k__unclassified-c__Cryptophyceae","TCGA"
-0.0236942451884152,6951411414,0.164651775412417,"Spearman's rank correlation rho","two.sided","MitoScore","k__unclassified-c__Cryptophyceae","TCGA"
0.0469286812672986,6298501680.1083,0.00612682907528816,"Spearman's rank correlation rho","two.sided","age","k__unclassified-c__Naldaviricetes","TCGA"
0.0996538304027728,6113814421.93944,4.68022462265512e-09,"Spearman's rank correlation rho","two.sided","buffa.score","k__unclassified-c__Naldaviricetes","TCGA"
-0.0467221456572586,7107782724,0.00612107578608845,"Spearman's rank correlation rho","two.sided","MitoScore","k__unclassified-c__Naldaviricetes","TCGA"
-0.0644979429102154,7034879709.53435,0.000163959186336178,"Spearman's rank correlation rho","two.sided","age","k__unclassified-g__Pandoravirus","TCGA"
-0.208551520039345,8206687563.4944,4.02207257807804e-35,"Spearman's rank correlation rho","two.sided","buffa.score","k__unclassified-g__Pandoravirus","TCGA"
0.0817354411431351,6235489518,1.57957113948313e-06,"Spearman's rank correlation rho","two.sided","MitoScore","k__unclassified-g__Pandoravirus","TCGA"
0.038495297537025,6354234845.66485,0.0245793897918202,"Spearman's rank correlation rho","two.sided","age","k__unclassified-p__Acidobacteria","TCGA"
0.101972347703358,6098070494.78288,2.03283568699711e-09,"Spearman's rank correlation rho","two.sided","buffa.score","k__unclassified-p__Acidobacteria","TCGA"
0.061461347598941,6373161060,0.000309250117782138,"Spearman's rank correlation rho","two.sided","MitoScore","k__unclassified-p__Acidobacteria","TCGA"
-0.0465461763455861,6916243013.99453,0.00655686601844525,"Spearman's rank correlation rho","two.sided","age","k__unclassified-p__Actinobacteria","TCGA"
-0.0720805961548675,7279979669.58114,2.31395931618097e-05,"Spearman's rank correlation rho","two.sided","buffa.score","k__unclassified-p__Actinobacteria","TCGA"
0.017435396743559,6672119952,0.306559855371517,"Spearman's rank correlation rho","two.sided","MitoScore","k__unclassified-p__Actinobacteria","TCGA"
0.0633032764087809,6190287936.83161,0.000216482426395238,"Spearman's rank correlation rho","two.sided","age","k__unclassified-p__Apicomplexa","TCGA"
0.118400757710559,5986513125.60287,3.22876704995885e-12,"Spearman's rank correlation rho","two.sided","buffa.score","k__unclassified-p__Apicomplexa","TCGA"
-0.0822270972049119,7348879640,1.36620488531897e-06,"Spearman's rank correlation rho","two.sided","MitoScore","k__unclassified-p__Apicomplexa","TCGA"
0.0412586899723923,6335972590.20206,0.0159764857443176,"Spearman's rank correlation rho","two.sided","age","k__unclassified-p__Aquificae","TCGA"
0.115426337400108,6006710972.17013,1.11233640477448e-11,"Spearman's rank correlation rho","two.sided","buffa.score","k__unclassified-p__Aquificae","TCGA"
-0.00437058909025826,6820193832,0.797729238905783,"Spearman's rank correlation rho","two.sided","MitoScore","k__unclassified-p__Aquificae","TCGA"
-0.0226783644144733,6758509326.50037,0.185505542788491,"Spearman's rank correlation rho","two.sided","age","k__unclassified-p__Armatimonadetes","TCGA"
0.000708397178040926,6785704898.1382,0.966865793744076,"Spearman's rank correlation rho","two.sided","buffa.score","k__unclassified-p__Armatimonadetes","TCGA"
-0.0175301866046313,6909554280,0.303937232766753,"Spearman's rank correlation rho","two.sided","MitoScore","k__unclassified-p__Armatimonadetes","TCGA"
0.000749515901905792,6603682987.02947,0.965102013653227,"Spearman's rank correlation rho","two.sided","age","k__unclassified-p__Bacteroidetes","TCGA"
0.00383423224744776,6764478867.33664,0.822107391457884,"Spearman's rank correlation rho","two.sided","buffa.score","k__unclassified-p__Bacteroidetes","TCGA"
0.0445806203973375,6487789896,0.00891097007468348,"Spearman's rank correlation rho","two.sided","MitoScore","k__unclassified-p__Bacteroidetes","TCGA"
-0.0252640899296512,6775597445.91131,0.140213554469395,"Spearman's rank correlation rho","two.sided","age","k__unclassified-p__Candidatus","TCGA"
-0.0744648655600411,7296170087.4086,1.22777652488283e-05,"Spearman's rank correlation rho","two.sided","buffa.score","k__unclassified-p__Candidatus","TCGA"
0.0705586595778929,6311385624,3.4334039081193e-05,"Spearman's rank correlation rho","two.sided","MitoScore","k__unclassified-p__Candidatus","TCGA"
0.0386215002208513,6353400818.03178,0.0241129380097912,"Spearman's rank correlation rho","two.sided","age","k__unclassified-p__Cercozoa","TCGA"
0.0790149721593624,6253962904.20308,3.47409363257977e-06,"Spearman's rank correlation rho","two.sided","buffa.score","k__unclassified-p__Cercozoa","TCGA"
-0.0366345262093277,7039282590,0.0316404877163603,"Spearman's rank correlation rho","two.sided","MitoScore","k__unclassified-p__Cercozoa","TCGA"
-0.0359721170464083,6846362902.24172,0.0356841073734332,"Spearman's rank correlation rho","two.sided","age","k__unclassified-p__Chlamydiae","TCGA"
-0.0566150195268219,7174960435.17438,0.000892154803711859,"Spearman's rank correlation rho","two.sided","buffa.score","k__unclassified-p__Chlamydiae","TCGA"
0.0345629932814171,6555814746,0.0426281094339895,"Spearman's rank correlation rho","two.sided","MitoScore","k__unclassified-p__Chlamydiae","TCGA"
-0.0181379118187791,6728503126.81696,0.289660874864539,"Spearman's rank correlation rho","two.sided","age","k__unclassified-p__Chlorobi","TCGA"
-0.0257018977301478,6965044409.26157,0.131714435538544,"Spearman's rank correlation rho","two.sided","buffa.score","k__unclassified-p__Chlorobi","TCGA"
