"","Overall"
"s__.Arcobacter..porcinus",8.80232285685556
"s__.Bacillus..caldolyticus",0.775824067962699
"s__.Brevibacterium..flavum",0.360084142986112
"s__.Brevibacterium..frigoritolerans",0
"s__.Candida..glabrata",2.21090486537215
"s__.Clostridium..hylemonae",0.0811061991314862
"s__.Enterobacter..lignolyticus",0
"s__.Eubacterium..cellulosolvens",0.340520977376849
"s__.Mycobacterium..stephanolepidis",0
"s__.Ochrobactrum..quorumnocens",0.686403031524557
"s__.Ruminococcus..gnavus",3.24286609488239
"s__.Ruminococcus..torques",0.475211475281513
"s__Abiotrophia.defectiva",0
"s__Abyssogena.phaseoliformis.symbiont",0
"s__Acetivibrio.clariflavus",0
"s__Acetivibrio.thermocellus",0
"s__Acetoanaerobium.sticklandii",0
"s__Acetobacter.aceti",0
"s__Acetobacter.ascendens",0
"s__Acetobacter.ghanensis",0
"s__Acetobacter.orientalis",0
"s__Acetobacter.oryzifermentans",0
"s__Acetobacter.oryzoeni",0
"s__Acetobacter.persici",0
"s__Acetobacter.pomorum",0
"s__Acetobacter.senegalensis",0
"s__Acetobacter.tropicalis",0
"s__Acetohalobium.arabaticum",0
"s__Acetomicrobium.mobile",0
"s__Acholeplasma.hippikon",0
"s__Acholeplasma.laidlawii",0
"s__Achromobacter.deleyi",0
"s__Achromobacter.ruhlandii",0
"s__Achromobacter.sp.",0
"s__Achromobacter.sp..AONIH1",0
"s__Achromobacter.sp..B7",0
"s__Achromobacter.sp..ES.001",0
"s__Achromobacter.xylosoxidans",0
"s__Acidaminococcus.intestini",0
"s__Acidianus.ambivalens",0
"s__Acidianus.brierleyi",0
"s__Acidianus.hospitalis",0
"s__Acidianus.sulfidivorans",0
"s__Acidihalobacter.aeolianus",0
"s__Acidimicrobium.ferrooxidans",0
"s__Acidipropionibacterium.acidipropionici",0
"s__Acidipropionibacterium.jensenii",0
"s__Acidipropionibacterium.virtanenii",0
"s__Acidithiobacillus.caldus",0
"s__Acidithiobacillus.ferridurans",0
"s__Acidithiobacillus.ferrooxidans",0
"s__Acidithiobacillus.thiooxidans",0
"s__Aciduliprofundum.sp..MAR08.339",0
"s__Acinetobacter.baumannii",6.9621173682546
"s__Acinetobacter.baylyi",0
"s__Acinetobacter.bereziniae",0
"s__Acinetobacter.bouvetii",0
"s__Acinetobacter.calcoaceticus",8.75550627725585
"s__Acinetobacter.chinensis",0
"s__Acinetobacter.cumulans",0
"s__Acinetobacter.defluvii",0
"s__Acinetobacter.dispersus",0
"s__Acinetobacter.equi",0
"s__Acinetobacter.guillouiae",0
"s__Acinetobacter.gyllenbergii",0
"s__Acinetobacter.haemolyticus",1.94962544765946
"s__Acinetobacter.indicus",2.41168970511034
"s__Acinetobacter.johnsonii",0
"s__Acinetobacter.junii",1.07748406338045
"s__Acinetobacter.lactucae",0
"s__Acinetobacter.lanii",0
"s__Acinetobacter.larvae",0
"s__Acinetobacter.lwoffii",0.0130377638587869
"s__Acinetobacter.nosocomialis",0
"s__Acinetobacter.oleivorans",0
"s__Acinetobacter.phage.Ac42",0.864688558938197
"s__Acinetobacter.phage.vB_AbaM_Acibel004",0
